bioguide_id,fec_id
B001296,H4PA13199
E000296,H6PA02171
F000466,H6PA08277
S001199,H6PA16320
S001205,H8PA07200
D000631,H8PA04116
M001204,H8PA10147
R000610,H8PA18199
L000602,H0PA12199
K000367,S6MN00267
W000437,S8MS00196
H001079,S8MS00261
H001089,S4MO00045
D000618,S2MT00096
S001232,S4MT00183
F000463,S2NE00094
R000608,S8NV00156
C001113,S6NV00200
S001181,S0NH00219
H001076,S6NH00091
K000394,S4NJ00466
B001288,S4NJ00185
H001046,S2NM00088
L000570,S0NM00058
S000148,S8NY00082
G000555,S0NY00410
B001305,S2NC00505
C001096,S8ND00120
H001061,S0ND00093
V000137,S2OH00436
M001242,S4OH00192
H001104,S6OH00304
L000575,S4OK00232
M001190,S2OK00186
W000779,S6OR00110
M001176,S8OR00207
F000479,S6PA00274
M001243,S2PA00661
R000122,S6RI00163
W000802,S6RI00221
S001184,S4SC00240
G000359,S0SC00149
T000250,S2SD00068
R000605,S4SD00049
B001243,S8TN00337
H000601,S0TN00169
C001056,S2TX00106
C001098,S2TX00312
C001114,S4UT00282
L000577,S8UT00259
W000800,S6VT00012
S000033,S4VT00033
W000805,S8VA00107
K000384,S2VA00142
C000127,S8WA00194
M001111,S2WA00189
C001047,S4WV00159
J000312,S4WV00332
B001230,S2WI00219
L000571,S0WY00137
B001261,S6WY00068
R000600,
N000147,
M001219,
K000404,
H001103,
P000610,
